Unique Count September 2019
0
89
99
0
367
2247
0
104
0
134
36
0
677
16
170
30
0
268
0
0
0
222
210
632
83
0
145
0
129
0
6
4
161
0
432
611
3006
0
93
33
198
2338
148
39
341
6
71
1860
648
296
548
246
140
66
296
139
4512
2013
0
1
1194
1323
1128
0
354
4174
151
261
4
426
