July,August,September
370,130,143
166,84,96
330,788,866
92,16,18
760,1054,1156
12055,13877,15273
616,1992,2190
1284,987,1089
359,739,813
358,221,243
328,415,456
144,264,290
121,4719,5191
99,195,216
374,178,198
1701,1716,1887
53,0,0
2775,2496,2744
6,11,11
0,0,0
128,41,45
